中国,1395.38 
インド,1334.22 
アメリカ,327.35 
インドネシア,264.16 
ブラジル,208.33 
パキスタン,200.96 
ナイジェリア,193.88 
バングラデシュ,164.88 
ロシア,143.97 
日本,126.49 
メキシコ,124.74 
フィリピン,106.60 
エジプト,96.98 
コンゴ(旧ザイール),95.03 
ベトナム,94.58 
エチオピア,94.14 
ドイツ,82.89 
イラン,82.36 
トルコ,82.00 
タイ,67.79 
イギリス,66.47 
フランス,64.73 
イタリア,60.48 
南アフリカ,57.73 
ミャンマー,52.83 
韓国,51.66 
タンザニア,51.05 
コロンビア,49.83 
ケニア,48.03 
スペイン,46.45 
