Date,Open,High,Low,Close,Adj Close,Volume
2021-10-29,28819.160156,29000.650391,28475.060547,28892.689453,28892.689453,104500000
2021-11-01,29330.679688,29666.830078,29267.630859,29647.080078,29647.080078,76700000
2021-11-02,29462.400391,29599.570313,29457.179688,29520.900391,29520.900391,71100000
2021-11-04,29859.740234,29880.810547,29718.779297,29794.369141,29794.369141,90400000
2021-11-05,29840.730469,29840.730469,29504.070313,29611.570313,29611.570313,73500000
2021-11-08,29735.449219,29735.449219,29507.050781,29507.050781,29507.050781,68300000
2021-11-09,29557.550781,29750.460938,29240.310547,29285.460938,29285.460938,65000000
2021-11-10,29209.060547,29296.880859,29079.769531,29106.779297,29106.779297,63900000
2021-11-11,29046.189453,29336.029297,29040.080078,29277.859375,29277.859375,60600000
2021-11-12,29381.449219,29661.220703,29381.449219,29609.970703,29609.970703,68400000
2021-11-15,29807.369141,29861.880859,29718.210938,29776.800781,29776.800781,60400000
2021-11-16,29749.710938,29960.929688,29681.250000,29808.119141,29808.119141,62000000
2021-11-17,29906.679688,29909.970703,29623.789063,29688.330078,29688.330078,63900000
2021-11-18,29597.929688,29715.949219,29402.570313,29598.660156,29598.660156,65400000
2021-11-19,29641.050781,29768.539063,29589.189453,29745.869141,29745.869141,65600000
2021-11-22,29618.550781,29806.490234,29542.289063,29774.109375,29774.109375,58800000
2021-11-24,29663.449219,29758.050781,29212.929688,29302.660156,29302.660156,69500000
2021-11-25,29469.650391,29570.419922,29444.449219,29499.279297,29499.279297,50700000
2021-11-26,29324.470703,29332.990234,28605.609375,28751.619141,28751.619141,72900000
2021-11-29,28337.960938,28776.339844,28187.119141,28283.919922,28283.919922,85900000
2021-11-30,28611.730469,28718.699219,27819.140625,27821.759766,27821.759766,140700000
2021-12-01,27866.730469,28106.300781,27594.009766,27935.619141,27935.619141,80900000
2021-12-02,27716.199219,27938.550781,27644.960938,27753.369141,27753.369141,77400000
2021-12-03,27841.050781,28029.570313,27588.609375,28029.570313,28029.570313,71900000
2021-12-06,28069.960938,28081.039063,27693.910156,27927.369141,27927.369141,61700000
2021-12-07,28138.820313,28618.460938,27961.660156,28455.599609,28455.599609,78300000
2021-12-08,28792.890625,28897.439453,28621.470703,28860.619141,28860.619141,72000000
2021-12-09,28827.320313,28908.289063,28725.470703,28725.470703,28725.470703,54400000
2021-12-10,28542.500000,28699.009766,28392.869141,28437.769531,28437.769531,63400000
2021-12-13,28705.259766,28793.320313,28593.449219,28640.490234,28640.490234,53500000
2021-12-14,28554.859375,28672.960938,28309.669922,28432.640625,28432.640625,55200000
2021-12-15,28358.470703,28525.830078,28358.470703,28459.720703,28459.720703,55900000
2021-12-16,28868.369141,29070.080078,28782.189453,29066.320313,29066.320313,60300000
2021-12-17,28854.599609,28904.939453,28503.080078,28545.679688,28545.679688,84400000
2021-12-20,28325.460938,28441.509766,27893.179688,27937.810547,27937.810547,65200000
2021-12-21,28309.599609,28533.740234,28226.429688,28517.589844,28517.589844,55800000
2021-12-22,28614.060547,28673.769531,28473.849609,28562.210938,28562.210938,44700000
2021-12-23,28703.009766,28798.369141,28640.150391,28798.369141,28798.369141,43600000
2021-12-24,28836.050781,28870.130859,28773.500000,28782.589844,28782.589844,35900000
2021-12-27,28786.330078,28805.279297,28658.820313,28676.460938,28676.460938,37500000
2021-12-28,28953.320313,29121.009766,28879.679688,29069.160156,29069.160156,47000000
2021-12-29,28995.730469,29106.279297,28729.609375,28906.880859,28906.880859,44700000
2021-12-30,28794.240234,28904.419922,28579.490234,28791.710938,28791.710938,40400000
2022-01-04,29098.410156,29323.789063,28954.560547,29301.789063,29301.789063,66000000
2022-01-05,29288.800781,29388.160156,29204.449219,29332.160156,29332.160156,78600000
2022-01-06,29136.750000,29158.949219,28487.869141,28487.869141,28487.869141,71600000
2022-01-07,28711.529297,28813.089844,28293.699219,28478.560547,28478.560547,75200000
2022-01-11,28380.900391,28473.470703,28089.490234,28222.480469,28222.480469,73700000
2022-01-12,28449.529297,28814.310547,28427.599609,28765.660156,28765.660156,72500000
2022-01-13,28658.220703,28660.449219,28444.960938,28489.130859,28489.130859,69900000
